DN,area_ha
"4",0.121
"1",0.061
"9",0.061
"1",3.149
"4",0.121
"1",0.061
"16",0.061
"1",0.182
"12",0.061
"12",0.121
"12",0.121
"4",0.121
"9",0.363
"12",0.061
"9",1.393
"12",0.182
"16",0.061
"16",0.121
"12",0.121
"9",0.061
"12",0.545
"12",0.303
"12",0.242
"12",0.061
"12",0.121
"4",0.061
"9",1.029
"12",0.061
"4",0.121
"9",0.061
"4",0.121
"1",0.424
"4",0.061
"16",0.061
"9",0.666
"12",0.061
"16",0.061
"12",0.363
"9",0.182
"4",0.242
"11",0.363
"9",0.061
"11",0.061
"9",0.061
"16",0.242
"4",0.787
"12",0.061
"9",0.182
"4",0.121
"9",0.121
"9",0.061
"16",0.121
"1",0.061
"16",0.121
"4",0.121
"4",0.182
"12",0.061
"12",0.121
"9",0.121
"9",0.121
"12",0.061
"12",0.121
"12",0.182
"12",0.908
"9",0.545
"4",0.182
"9",0.848
"9",0.424
"9",0.242
"16",0.061
"1",0.121
"4",0.061
"13",0.121
"4",2.241
"12",0.121
"12",0.121
"11",20.225
"12",0.182
"4",0.121
"11",0.303
"9",0.061
"11",0.121
"4",0.061
"16",0.121
"16",0.061
"1",0.061
"12",0.121
"9",0.061
"16",0.061
"4",0.182
"12",0.182
"9",0.242
"16",21.799
"4",0.242
"11",0.242
"9",0.424
"12",0.061
"12",0.121
"4",0.121
"1",0.061
"12",0.061
"4",0.121
"1",0.061
"1",0.121
"4",0.061
"4",0.061
"4",0.061
"11",0.242
"11",0.061
"9",3.149
"9",0.061
"12",0.121
"9",0.121
"4",0.121
"1",0.121
"4",0.121
"16",0.061
"12",0.242
"16",0.061
"16",0.303
"9",0.363
"4",0.061
"12",0.606
"12",0.303
"11",0.121
"12",0.121
"4",0.545
"9",0.121
"9",0.121
"11",0.484
"4",0.121
"16",0.121
"1",0.666
"12",0.121
"16",0.121
"1",9.689
"12",0.121
"12",0.061
"1",0.061
"12",0.121
"1",0.061
"12",0.424
"16",5.874
"12",0.061
"11",0.061
"12",0.303
"11",0.061
"12",0.121
"9",0.303
"9",0.121
"9",0.061
"16",0.242
"12",0.061
"9",0.606
"12",0.303
"9",0.545
"12",0.121
"4",0.121
"16",0.061
"4",0.061
"11",0.363
"12",0.182
"16",0.061
"9",0.061
"9",0.242
"9",0.182
"12",0.182
"9",0.061
"9",0.061
"16",0.121
"16",0.061
"4",0.061
"12",0.121
"12",0.061
"12",0.121
"11",0.121
"4",0.061
"4",0.121
"11",0.182
"9",0.061
"9",0.121
"16",0.061
"4",0.061
"16",0.121
"1",0.061
"12",0.061
"1",0.061
"16",0.121
"11",0.303
"12",1.090
"11",0.061
"9",0.061
"4",0.121
"12",12.415
"12",12.899
"12",0.242
"12",0.242
"13",1.393
"9",0.242
"4",1.090
"1",3.028
"4",0.121
"12",0.121
"4",0.121
"12",0.545
"12",0.121
"12",0.061
"12",0.121
"9",0.242
"11",0.061
"12",0.061
"11",0.121
"4",0.061
"1",0.242
"16",0.061
"1",0.121
"16",0.061
"16",0.121
"16",0.121
"4",0.121
"16",0.121
"12",0.121
"4",0.182
"11",0.061
"4",0.121
"11",3.452
"11",0.121
"4",0.061
"13",0.182
"12",0.121
"9",0.061
"9",0.121
"16",0.121
"1",0.182
"4",0.242
"1",0.121
"11",0.363
"12",0.061
"1",0.121
"12",0.061
"1",0.121
"9",0.182
"13",0.061
"9",0.061
"9",0.121
"4",0.121
"13",0.061
"1",1.090
"16",0.061
"9",4.603
"12",0.061
"12",0.061
"4",0.061
"4",0.182
"12",0.121
"12",0.061
"16",12.535
"4",0.061
"1",0.303
"4",0.242
"16",0.666
"16",0.121
"16",0.121
"4",0.303
"12",0.787
"12",0.121
"9",0.545
"12",0.121
"4",0.061
"16",0.666
"1",0.787
"12",0.061
"4",0.121
"9",0.061
"12",0.061
"4",0.121
"4",0.242
"9",0.061
"13",1.938
"16",0.121
"1",0.061
"9",0.121
"12",0.061
"13",0.121
"1",0.061
"16",0.121
